titulo,direccion,barrio,ciudad,moneda,precio,expensas,m2_cubiertos,dormitorios,banos,ambientes,antiguedad,link,pagina
Pumacahua 300 Departamento Monoambiente ALQUILER con Balcón y amenities,Pumacahua 300 Departamento Monoambiente en ALQUILER,Caballito,CABA,ARS,600000,160000,41.0,,1,,10 años,,2
Departamento en Caballito,Batalla Del Pari 1100,Caballito,CABA,ARS,650000,260000,41.0,1,,,16 años,,2
Tres ambientes con dependencia de 120 metros. Cochera fija,Agüero 2000,Recoleta,CABA,ARS,1900000,600000,,2,2,,24 años,,2
Lindo departamento de un ambiente y medio dividido en planta baja / Espacio cómodo y excelente ubicación,"Charcas 5200, Piso PB",Palermo Hollywood,Palermo,ARS,630000,111000,35.0,1,,,40 años,,2
DUEÑO DIRECTO - Departamento en alquiler en Palermo,"Billinghurst 1600, Piso 6",Palermo,CABA,ARS,1500000,406000,100.0,3,1,,,,2
"Departamento en alquiler en Caballito, Av. Rivadavia 5600 Primera Junta","General Martín De Gainza 100, Piso 7",Caballito,CABA,ARS,550000,125000,35.0,1,,,40 años,,2
"Departamento en alquiler en Caballito, Av. Rivadavia 5600 Primera Junta","General Martín De Gainza 100, Piso 7",Caballito,CABA,ARS,550000,125000,35.0,1,,,40 años,,3
DUEÑO ALQUILA LUMINOSO DEPARTAMENTO 2 AMBIENTES CABALLITO,"Avenida Manuel Ricardo Trelles 1100, Piso 6",Caballito Norte,Caballito,ARS,620000,139000,,1,1,,40 años,,3
Se Alquila 1 Amb de 35 m² - Dueño Directo,"Av Cordoba 3900, Piso 11",Palermo,CABA,ARS,650000,120000,35.0,1,,,17 años,,3
MONOAMBIENTE CON BALCÓN Y AMENITIES EN PALERMO NUEVO,Avenida Raúl Scalabrini Ortiz 3000,Palermo Chico,Palermo,ARS,690900,249000,30.0,1,,,,,3
Departamento en alquiler en Palermo Soho,"Gurruchaga 2200, Piso 18",Palermo Soho,Palermo,USD,1500,350000,65.0,2,,,20 años,,3
