titulo,direccion,barrio,ciudad,moneda,precio,expensas,m2_cubiertos,dormitorios,banos,ambientes,antiguedad,link,pagina
LINDO MONOAMBIENTE CON BALCON - RECICLADO,Humahuaca 4600,Almagro,CABA,ARS,550000,140000,30.0,,1,,15 años,,9
Departamento en ALQUILER AV LA PLATA 3 AMBIENTES,Avenida La Plata 400,Almagro,CABA,ARS,950000,175000,52.0,2,,,50 años,,9
Alquiler 2 Ambientes en Palermo con Amenities,Paraguay 4400,Palermo Soho,Palermo,USD,1100,370000,54.0,1,,,18 años,,9
Hermoso departamento con expensas incluidas,"José Antonio Cabrera 3500, Piso 8",Palermo Viejo,Palermo,USD,1150,,49.0,1,2,,,,9
Depto. amoblado e equipado.  en alquiler - Edificio CONCORD.  Recoleta,"Avenida Callao 1200, Piso 6",Recoleta,CABA,ARS,850000,250000,33.0,,1,1,,,9
Impecable departamento en San Nicolás,"Avenida Córdoba 1300, Piso 11",San Nicolás,CABA,ARS,1100000,250000,,2,1,3,,,9
Departamento en alquiler en Belgrano - Semipiso Amoblado - Frente Y Contrafrente - Muy Luminoso - Cochera Opcional - Dueño Directo,"Avenida Congreso 2200, Piso 5",Belgrano,CABA,ARS,950000,200000,45.0,1,,,,,9
DEPARTAMENTO 2 AMB CON BALCON - 46 m² - MERCEDES  3100 - VILLA DEVOTO - ALQUILER,"Mercedes 3100, Piso 2",Villa Devoto,CABA,ARS,700000,245000,43.5,1,,,,,9
"Departamento en alquiler en Villa Devoto, 2 ambientes",Avenida Salvador María Del Carril 3200,Villa Devoto,CABA,ARS,550000,85000,36.0,1,,,40 años,,9
EXCELENTE 2 AMBIENTES CON LAVADERO INDEPENDIENTE – FLORESTA,Concordia 100,Floresta,CABA,ARS,650000,100000,,1,1,2,,,9
Flores departamento 2 ambientes al frente. Muy buena ubicación y estado. No paga ABL.,"Avenida Directorio 1800, Piso 3°",Flores,CABA,ARS,800000,170000,39.0,1,,,,,9
AMB C/Balcon al Frente,Avenida General Mosconi 3300,Villa Devoto,CABA,ARS,650000,180000,32.0,,1,1,,,9
"Departamento  en Alquiler en Villa Devoto, Capital Federal, Buenos Aires",Avenida Francisco Beiró 4000,Villa Devoto,CABA,ARS,750000,230000,45.0,1,,,45 años,,9
EXCELENTE 3 AMBIENTES CON AMENITIES | SAN CRISTOBAL | LUMINOSO | AMUEBLADO | METROS SUBTE E,"Constitucion 2200, Piso 4",San Cristóbal,CABA,USD,650,150000,44.0,2,,,44 años,,9
Monoambiente con balcón Alquiler en Villa Urquiza,"Ceretti 2100, Piso 3°",Villa Urquiza,CABA,ARS,650000,160000,35.0,,1,,15 años,,9
ALQUILER Departamento de 2 ambienes en Belgrano. Excelente ubicación. Muy buen estado. Cocina independiente con lavadero,"Amenábar 1200, Piso 5",Belgrano,CABA,ARS,650000,210000,,1,1,2,,,9
Departamento ideal consultorio en alquiler en Recoleta,"Larrea 800, Piso PB",Recoleta,CABA,ARS,1400000,250000,72.0,2,,,60 años,,9
Excelente 2 Ambientes Interno Frente a Plaza Irlanda. Sólo con Garantía Familiar,Morelos 700,Caballito Norte,Caballito,ARS,500000,150000,37.0,1,,,50 años,,10
Departamento en Palermo,Uriarte 2200,Palermo,CABA,ARS,760000,150000,25.0,1,,,A Estrenar,,10
4 AMBIENTES EN BELGRANO NUÑEZ - EDIFICIO CON SEG 24HS Y GYM - COCHERA OPCIONAL,Avenida Del Libertador 6700,Belgrano,CABA,USD,1400,620000,78.0,3,,,20 años,,10
Villa Urquiza: Olazabal y Pacheco 3 Amb con Cochera Fija,"Avenida Olazábal 4700, Piso 9°",Villa Urquiza,CABA,ARS,1500000,230000,64.0,2,,,24 años,,10
1 AMBIENTE DIVISIBLE CON COCHERA CHICA. CATEGORIA CON AMENITIES Y PILETA.,"Avenida Francisco Beiró 3300, Piso 4",Villa Devoto,CABA,ARS,700000,160000,42.0,,1,,,,10
DEPARTAMENTO EN DEVOTO 2 AMBIENTES AL FRENTE,"Avenida Francisco Beiró 4200, Piso 5",Barrio San Pedro,Villa Devoto,ARS,1050000,286000,47.0,1,,,12 años,,10
2 amb gran balcon,Avenida García Del Río 4000,Saavedra,CABA,ARS,590000,200000,,1,1,2,,,10
(NUEVO) RODRIGUEZ PEÑA Y LAS HERAS - ESCRITORIO FRENTE COMEDOR DIARIO,Rodríguez Peña 1300,Recoleta,CABA,ARS,1100000,229142,69.0,2,,,5 años,,10
ALQUILER – 2 Ambientes a Estrenar al Frente en Las Cañitas,Migueletes 1200,Las Cañitas,Palermo,ARS,800000,280000,36.0,1,,,5 años,,10
Departamento en alquiler en Recoleta vista al rio,"Avenida Callao 1200, Piso 17",Recoleta,CABA,USD,1900,600000,,1,1,2,,,10
CARACAS Y AV. GAONA - 12 AÑOS CONTRAFRENTE 40 M2 BALCON V/ABIERTA TODO SOL TODO EXTERNO,Caracas 1200,Flores,CABA,ARS,650000,210000,40.0,1,,,12 años,,10
ALQUILER DE MONOAMBIENTE EN SAAVEDRA,Quintana 4600,Saavedra,CABA,ARS,690000,130000,35.0,,1,,10 años,,10
Alquiler 2 ambientes.,Gascon 1200,Palermo,CABA,ARS,900000,300000,44.0,1,1,,,,10
Departamento excelente estado 2 ambientes - San Cristobal,Rincon 1100,San Cristóbal,CABA,ARS,680000,148000,35.0,1,,,35 años,,10
Excelente departamento dos ambientes,"Gral Jose G Artigas 2800, Piso 3",Villa del Parque,CABA,ARS,750000,74000,42.0,1,1,,,,10
V. Urquiza Piso 3 Ambientes en Alquiler,"Avalos 2100, Piso 7°",Villa Urquiza,CABA,ARS,1400000,678000,70.0,2,,,22 años,,10
Alquiler monoambiente en Las Cañitas,Migueletes 1200,Las Cañitas,Palermo,ARS,800000,150000,40.0,1,,,15 años,,10
Excelente departamento apto profesional y comercial con importantes amenities,"Ciudad de La Paz 1900, Piso 3",Belgrano C,Belgrano,ARS,480000,350000,31.0,,,,10 años,,10
"2 ambientes al frente con balcón, amenities y apto profesional","Curapaligüe 100, Piso 6",Caballito,CABA,ARS,900000,245000,46.0,1,,,10 años,,10
Alquiler Departamento 1 ambiente en San Nicolas . Super Luminoso,"Viamonte 1300, Piso 4",San Nicolás,CABA,ARS,570000,256000,42.0,,1,,10 años,,10
ALQUILER DPTO. 2 AMB- TERRADA 1300 8°- PATERNAL,"Terrada 1300, Piso 8°",Paternal,CABA,ARS,820000,185000,49.0,1,,,10 años,,11
Departamento en alquiler en Belgrano R,"Conesa 1800, Piso 3",Belgrano R,Belgrano,ARS,1150000,300000,57.0,2,,,,,11
Monoambiente en alquiler – Belgrano | Apto profesional,"Amenábar 2400, Piso 2",Belgrano,CABA,ARS,700000,250000,,,1,1,,,11
Departamento 2 Ambientes en alquiler en villa urquiza,"Andonaegui 2600, Piso 3",Villa Urquiza,CABA,ARS,750000,200000,45.0,1,,,,,11
(A ESTRENAR) SUCRE Y AV. SANTA FE - FTE Y CFTE BALCON V/ABIERTA TODO SOL T/EXTERNO AMPLIA COCINA,José De Sucre 2400,Belgrano,CABA,ARS,1500000,200000,60.0,1,,,A Estrenar,,11
Juan B Ambrosetti 200 - Monoambiente con balcón. Apto profesional Amenities - Caballito,Juan B. Ambrosetti 200,Parque Rivadavia,Caballito,ARS,600000,120000,23.0,,1,,8 años,,11
SEMIPISO DIVISIBLE EN ACHAVAL AL 300 - IMPECABLE BALCON TODO SOL APTO PROFESIONAL,Achaval 300,Caballito,CABA,ARS,590000,177660,36.0,,1,,12 años,,11
Monoambiente cocina y baño en villa del Parque,Lavallol 2000,Villa del Parque,CABA,ARS,460000,120000,34.0,1,,,A Estrenar,,11
Departamento en alquiler en Balvanera,"Av Córdoba 2800, Piso 13",Balvanera,CABA,ARS,550000,170000,26.7,,,1,,,11
Departamento de 1 amb en Villa del Parque,Cuenca 2300,Villa del Parque,CABA,ARS,550000,95000,30.0,,1,,5 años,,11
Departamento en Villa del Parque,Melincué 3500,Villa del Parque,CABA,ARS,460000,220000,32.0,1,,,40 años,,11
EXCELENTE Y MUY LUMINOSO 3 AMBIENTES AL FRENTE EN VILLA DEL PARQUE CON BALCÓN,"Pedro Lozano 2600, Piso 6",Villa del Parque,CABA,ARS,1200000,250000,60.0,2,,,10 años,,11
IMPECABLE DEPARTAMENTO DE 2 AMBIENTE DIVISIBLE,"Marcos Sastre 3500, Piso P.B",Villa del Parque,CABA,ARS,550000,130000,36.0,1,,,35 años,,11
Departamento dos ambientes en alquiler en Caballito excelente estado.Apto profesional,"Guayaquil 700, Piso 5",Caballito,CABA,ARS,650000,100000,,,,,,,11
Departamento en Recoleta,Juncal 1800,Recoleta,CABA,USD,1200,650000,76.0,2,,,50 años,,11
MONOAMBIENTE REFACCIONADO A NUEVO – MUY LUMINOSO – APTO PROFESIONAL,"Laprida 1200, Piso 2",Barrio Norte,CABA,ARS,630000,140000,30.0,,1,1,,,11
DPTO. 4 AMB. c/DEP. y COCH. en RECOLETA,Avenida Callao 1900,Recoleta,CABA,USD,1800,790000,140.0,3,,,66 años,,11
Departamento monoambiente divisible fte 2do piso x escalera,Agüero 2100,Recoleta,CABA,ARS,600000,160000,39.0,,1,1,,,11
Hermoso departamento a estrenar de 1 amb. frente con balcón y vista abierta.,"Araujo 100, Piso 6",Villa Luro,CABA,ARS,800000,,30.0,,1,,A Estrenar,,11
Departamento - Villa del Parque,Avenida San Martín 2700,Villa del Parque,CABA,ARS,880000,150000,44.0,1,,,15 años,,11
2 AMB con 2 baños A ESTRENAR - Balcón al frente,Teniente General Juan Domingo Perón 3800,Almagro,CABA,ARS,800000,200000,44.0,1,,,A Estrenar,,12
Comodo monoambiente con balcón al frente a mts de Av. Cabildo,Manuela Pedraza 2400,Núñez,CABA,ARS,620000,240000,33.0,,1,,14 años,,12
Semipiso Premium Frente a Plaza Devoto,Avenida Salvador María Del Carril 4100,Villa Devoto,CABA,ARS,7000000,1000000,180.0,3,4,,,,12
Departamento en Caballito,Avenida Pedro Goyena 1400,Caballito,CABA,USD,1800,,,,,4,30 años,,12
Departamento 2 ambientes  c/balcón doble y seguridad 24 hs,Hortiguera 100,Caballito,CABA,ARS,650000,277000,40.0,1,1,,,,12
"DEPTO DE 1AMB. 2º PISO AL FRENTE, DE 15 AÑOS DE ANTIGUE, y 40Mts2 CON COCHERA EDIFICIO CON AMENITIES","Doctor Pedro Ignacio Rivera 5000, Piso 2",Villa Urquiza,CABA,ARS,800000,220000,40.0,,1,,15 años,,12
Dos ambientes al frente en un primer piso.,"Avenida Juan Bautista Justo 8100, Piso 1°",Villa Luro,CABA,ARS,500000,160000,,1,1,2,,,12
2 AMBIENTES PLATA BAJA AL FRENTE APTO PROFESIONAL,"Miller 3000, Piso P.B",Villa Urquiza,CABA,ARS,850000,130000,,1,2,2,,,12
DEPARTAMENTO ALTO PALERMO,"General Güemes 3300, Piso 6",Recoleta,CABA,ARS,700000,208000,40.0,1,,,,,12
ALQUILER_1 AMBIENTE_SEGURO DE FIANZA_SIN COMISION_,"Quito 3800, Piso 1",Almagro,CABA,ARS,430000,105000,,,1,1,40 años,,12
ALQUILER - 2 AMBIENTES - EXCELENTE ESTADO - SEGURO DE FIANZA,"Hidalgo 700, Piso 7",Caballito,CABA,ARS,630000,85000,,1,1,,40 años,,12
Departamento en Caballito,Directorio  496 4º Piso,Caballito,CABA,ARS,1100000,181000,78.0,2,,,50 años,,12
ALQUILER PENTHOUSE A ESTRENAR 5 AMBIENTES 260MT Y 2 COCHERAS,"11 De Septiembre De 1888 2900, Piso 8°",Núñez,CABA,USD,5200,,260.0,4,,,A Estrenar,,12
Alquiler departamento 2 ambientes Belgrano,3 De Febrero 1500,Belgrano C,Belgrano,USD,1300,200000,55.0,1,,,A Estrenar,,12
Devoto 2 Ambientes Frente Balcon,"Baigorria 4600, Piso 3°",Villa Devoto,CABA,ARS,700000,180000,45.0,1,,,2 años,,12
DUEÑO ALQUILA.  Departamento a cuadras Plaza San Martín,"Suipacha 900, Piso 3",Plaza San Martín,Barrio Norte,ARS,690000,178000,32.0,1,,,35 años,,12
3 amb COCHERA  DISPONIBLE 1/9/26,Moldes 1500,Belgrano,CABA,USD,1000,,68.0,3,,,30 años,,12
En alquiler: Depto 2 ambientes Rivera esquina Cabildo,"Doctor Pedro Ignacio Rivera 2400, Piso 5°",Belgrano,CABA,ARS,700000,150000,43.0,1,,,52 años,,12
1 AMB DIVISIBLE CON BALCON + PISCINA - GYM - LAUNDRY,"Avenida Doctor Honorio Pueyrredón 400, Piso 2°",Caballito Norte,Caballito,ARS,590000,195000,34.0,,1,1,,,12
CHARCAS AL 3100 - FRENTE 55 M2 BALCON VISTA ABIERTA TODO SOL APTO PROFESIONAL,Charcas 3100,Barrio Norte,CABA,ARS,950000,175450,52.0,2,,,40 años,,12
AV. AVELLANEDA AL 1800 - IMPECABLE BALCON TODO SOL TODO EXTERNO,Avenida Avellaneda 1800,Caballito,CABA,ARS,600000,180000,34.0,1,,,40 años,,13
MORELOS AL 600 - T/AL FRENTE EN ESQUINA 36 M2 IMPEC BALCON T/SOL APTO PROFESIONAL,Morelos 600,Caballito,CABA,ARS,680000,148394,33.0,1,,,40 años,,13
Alquiler 2 ambientes en la exclusiva zona de Villa Devoto,Avenida Francisco Beiró 4900,Villa Devoto,CABA,ARS,750000,220000,42.0,1,,,10 años,,13
Departamento en alquiler en Flores - Divina Balcon al Frente,"Rivera Indarte 400, Piso 6",Flores,CABA,ARS,850000,200000,49.0,1,,,25 años,,13
Monoambiente ideal con amplio balcón y cocina separada,"Asuncion 2100, Piso 2",Villa Urquiza,CABA,ARS,600000,181500,32.0,,1,,6 años,,13
Departamento en alquiler en Almagro,"Avenida Rivadavia 3900, Piso 8",Almagro,CABA,ARS,650000,115000,,1,1,,40 años,,13
Departamento en alquiler en Almagro,"Colombres 100, Piso 2",Almagro,CABA,ARS,450000,83000,34.0,,1,,55 años,,13
Alquiler Depto Belgrano R 1 Dormitorio  Seguridad 24hs Amenities,Conesa 1900,Belgrano R,Belgrano,USD,900,275000,47.0,1,,,23 años,,13
DEPARTAMENTO MONOAMBIENTE CON BALCON - PALERMO,"Fray Justo Santa María De Oro 2200, Piso 2",Palermo,CABA,ARS,600000,300000,38.0,,1,,15 años,,13
EXCLUSIVO DEPARTAMENTO TOTALMENTE RECICLADO,"Junín 500, Piso 3°",Balvanera,CABA,ARS,850000,180000,54.0,1,1,,,,13
Departamento en alquiler en Paternal,"Terrero 2300, Piso 1",Paternal,CABA,ARS,800000,360000,58.0,2,1,,,,13
Departamento en alquiler en Barrio Norte,Presidente José Evaristo Uriburu 700,Barrio Norte,CABA,ARS,610000,190000,,,,,40 años,,13
Departamento en alquiler en Barrio Norte,Paraguay 1900,Barrio Norte,CABA,ARS,470000,180000,30.0,,1,,30 años,,13
Departamento monoambiente luminoso en alquiler en Almagro,"Pringles 700, Piso 6",Almagro,CABA,ARS,650000,198000,38.0,,,1,A Estrenar,,13
Dos ambientes luminosos en muy buen estado,Avenida Angel Gallardo 800,Villa Crespo,CABA,ARS,750000,220000,35.0,1,,,50 años,,13
Departamento Alquiler dos ambientes 43 metros,"Moreno 2800, Piso 5°",Balvanera,CABA,ARS,650000,195000,43.0,1,1,,,,13
Yerbal al 2500 - Departamento de 3 amb. con dependencia en alquiler,Yerbal 2500,Flores,CABA,ARS,950000,300000,91.0,2,,,A Estrenar,,13
Palestina al 500 - Almagro - Monoambiente a metros del H. Italiano - Apto profesional,Estado de Palestina 500,Almagro,CABA,ARS,590000,148500,24.0,,1,,4 años,,13
Dueño alquila hermoso y comodo departamento  en  Almagro,"Rocamora 4400, Piso 1er",Almagro,CABA,ARS,900000,180000,40.0,1,,,10 años,,13
EXCELENTE 3 AMBIENTES AL FRENTE CON BALCÓN CORRIDO EN RECOLETA – A METROS DE AV. SANTA FE Y SUBTE LÍNEA D,Avenida Pueyrredón 1100,Recoleta,CABA,ARS,980000,291000,45.0,2,,,45 años,,13
DUEÑO DIRECTO - RUGGIERI 2700 -APTO PROFESIONAL- B NORTE-PALERMO -  3 EXCELENTES AMBIENTES-93M2,Silvio L. Ruggieri 2700,Palermo,CABA,ARS,1200000,260000,93.0,2,1,,,,14
AV. LAS HERAS AL 2400 - IMPECABLE LUMINOSO APTO PROFESIONAL,Avenida General Las Heras 2400,Recoleta,CABA,ARS,550000,146000,20.0,,1,,40 años,,14
4 AMB CON BALCÓN Y COCHERA AL FRENTE PROX A PARQUE CENTENARIO,Lavalleja 700,Villa Crespo,CABA,ARS,1150000,295000,92.0,3,,,50 años,,14
ALQUILER - 4 AMBIENTES - 3 DORMITORIOS - COCHERA - PALERMO CHICO,Juan María Gutiérrez 3900,Recoleta,CABA,USD,2500,,110.0,3,,,15 años,,14
CRAMER 2590 1 ambiente C/Fte Balcón Amenities AA,"Crámer 2500, Piso 2°",Belgrano,CABA,ARS,650000,110300,30.0,,1,,15 años,,14
ALQUILER DEPARTAMENTO 2 AMBIENTES 40M2 EN VILLA URQUIZA,"Franklin Delano Roosevelt 4800, Piso 5°",Villa Urquiza,CABA,ARS,880000,,38.0,1,,,10 años,,14
Moderno Mini Loft edificio con amenities ambiente divisible balcon,"Arévalo 2900, Piso 1",Las Cañitas,Palermo,ARS,650000,305000,32.0,,1,,7 años,,14
ALQUILER DEPARTAMENTO MONOAMBIENTE  C/ BALCÓN  A ESTRENAR AL FRENTE  VILLA URQUIZA,"Díaz Colodrero 3500, Piso 1",Villa Urquiza,CABA,ARS,600000,85000,28.0,,1,,A Estrenar,,14
Departamento en alquiler en Villa Devoto,"Boulevard Salvador M.Del Carril 4700, Piso 3",Villa Devoto,CABA,ARS,900000,150000,42.0,1,,,A Estrenar,,14
Monoambiente a estrenar con balcón al frente,"Galvan 3500, Piso 1",Villa Urquiza,CABA,ARS,700000,130000,34.0,,,,A Estrenar,,14
Monoambiente en alquiler en Flores Norte,"Cnel Ramon L. Falcon 2100, Piso 3",Flores Norte,Flores,ARS,530000,120000,,,1,1,15 años,,14
Departamento Monoambiente en alquiler en Flores,"Avenida Directorio 2300, Piso 6",Flores,CABA,ARS,420000,85000,,,1,1,30 años,,14
Exclusivo piso en Belgrano,"José De Sucre 2800, Piso 5",Belgrano C,Belgrano,ARS,1800000,500000,98.0,3,,,50 años,,14
Dueño Directo Alquila – 2 Ambientes – Cocina Reciclada a Nuevo – Almagro Norte,Estado de Palestina 600,Almagro Norte,Almagro,ARS,750000,130000,41.0,1,1,,,,14
Regio departamento 2 ambientes en alquiler en San Cristóbal apto profesional y/o vivienda,"Avenida San Juan 2100, Piso 2",San Cristóbal,CABA,ARS,850000,170000,43.0,1,,,,,14
"Depto en Alquiler 2 Ambientes San Cristóbal  Av Entre Rios 1200 , 7 Piso Dueño Alquila SIN COMISIÓN DE INMOBILIARIA","Avenida Entre Ríos 1200, Piso 7",San Cristóbal,CABA,ARS,540000,120000,39.0,1,,,49 años,,14
SEMIP EN PARAGUAY AL 2300 - T/AL FTE 99 M2 BALCON TODO SOL TODO EXTERNO ESPECTACULAR LIVING,Paraguay 2300,Barrio Norte,CABA,ARS,1300000,482000,99.0,3,,,40 años,,14
Dos ambientes - Almagro - alquiler,"Avenida Rivadavia 4300, Piso 10",Almagro,CABA,ARS,650000,166000,39.0,1,1,,,,14
ALQUILER 3 AMBIENTES TORRE RENOIR - P MADERO - TIPOLOGIA AVE,MARTA LINCH al 400,Puerto Madero,CABA,USD,2700,,160.0,2,,,10 años,,14
SEMIP C/DEP EN ECUADOR Y AV. SANTA FE - FRENTE IMPEC BALCON TODO SOL DOBLE ENTRADA,Ecuador 1400,Barrio Norte,CABA,ARS,980000,370000,62.0,2,,,40 años,,14
SEMIPISO EN AV. DIRECTORIO AL 1500 - NUEVO BALCON TODO SOL AMENITIES,Avenida Directorio 1500,Caballito,CABA,ARS,700000,173290,31.0,,1,,10 años,,15
YERBAL AL 900 - CONTRAFRENTE IMPECABLE VISTA ABIERTA TODO SOL,Yerbal 900,Caballito,CABA,ARS,490000,128500,35.0,1,,,40 años,,15
Departamento en alquiler en Belgrano C,"Amenábar 1400, Piso 8",Belgrano C,Belgrano,ARS,1100000,200000,70.0,1,,,20 años,,15
ALQUILER DEPARTAMENTO MONOAMBIENTE CON BALCON EN VILLA PUEYRREDON,"Vallejos 2600, Piso 7",Villa Pueyrredón,CABA,ARS,650000,121182,33.07,,1,,15 años,,15
DEPARTAMENTO 2 AMBIENTES,"Jose J Biedma 900, Piso 6",Caballito,CABA,ARS,680000,150000,38.0,1,,,30 años,,15
"Departamento de 2 ambientes en alquiler – NO PAGA EXPENSAS, ABL, AYSA","Catamarca 1200, Piso 6",San Cristóbal,CABA,ARS,750000,,,1,1,2,,,15
ALQUILER - 4 AMBIENTES - 3 DORMITORIOS - COCHERA - PALERMO CHICO,Juan María Gutiérrez 3900,Palermo,CABA,USD,2500,,110.0,3,,,12 años,,15
Alquiler Depto 4 amb Cochera Pileta Parrilla- Palermo Hollywood Sobre Dorrego,Dorrego 2200,Palermo Hollywood,Palermo,ARS,2300000,450000,77.0,3,,,5 años,,15
DEPARTAMENTO EN ALQUILER DE 4 AMBIENTES CON DEPENDENCIA Y COCHERA EN PALERMO CHICO CON AMENITIES,Segui al 3600,Palermo Chico,Palermo,USD,5000,,,3,3,,10 años,,15
"JUNCAL 1600,Piso 7º.  RECOLETA",Juncal 1600,Recoleta,CABA,ARS,550000,210000,23.0,,1,,55 años,,15
Espectacular departamento A ESTRENAR de categoría – Balcón terraza con parrilla propia – Detalles premium,San José De Calasanz 700,Caballito,CABA,ARS,1100000,200000,56.0,1,,,,,15
"Excelente Ubicación,  Zona Residencial, Luz y Sol","Capitán General Ramón Freire 3500, Piso 3",Saavedra,CABA,ARS,800000,94600,,1,1,,8 años,,15
Departamento en Palermo,Francisco Acuña De Figueroa 1200,Palermo,CABA,ARS,800000,150000,33.0,1,,,40 años,,15
2 Ambientes muy luminoso ubicación estratégica,Avenida San Martín 1900,Villa Crespo,CABA,ARS,600000,140000,,1,1,,50 años,,15
"DEPARTAMENTO 3 DOR.C/DEP - RECOLETA, CAPITAL FEDERAL","Vicente López 1700, Piso 5",Recoleta,CABA,USD,3000,700000,170.0,3,,,80 años,,15
Belgrano Av Luis María Campos y Virrey Loreto Edificio Premium a estrenar monoambiente de 41 m2 amenities contra frente luminoso y silencioso. Próximo a todos los medios de locomocíon,Avenida Luis María Campos 1400,Belgrano,CABA,USD,800,180000,38.0,,1,,A Estrenar,,15
3 AMB. AL FTE CON BALCON. EXCEPCIONAL  UBICACIÓN. 1ER PISO POR ESC. BAJAS EXP.,"Llavallol 3500, Piso 1",Villa Devoto,CABA,ARS,1200000,190000,,2,,3,,,15
"Departamento de 2 ambientes super luminoso, vista abierta a pulmon de manzana.","Formosa 100, Piso 2",Caballito,CABA,ARS,980000,200000,45.0,1,,,2 años,,15
Moderno 2 Ambientes con Cochera y Baulera | Full Amenities,Pico 2300,Núñez,CABA,USD,940,310000,42.0,1,,,,,15
Alquiler 2 Ambientes Belgrano Nuñez Balcon Luminoso,Manuel Ugarte 1500,Núñez,CABA,ARS,1300000,290000,48.0,1,,,10 años,,15
Manzanares 1600 Duplex 2 amb Luminoso Amenities Sin muebles,Manzanares 1600,Núñez,CABA,ARS,1250000,300000,55.0,1,1,,,,16
Departamento en alquiler en Flores,Jose Bonifacio 2900,Flores,CABA,ARS,650000,160000,,1,1,2,,,16
Excelente monoambiente a estrenar. Listo para habitar.,"Puan 600, Piso 5",Caballito,CABA,ARS,700000,100000,28.0,,,,A Estrenar,,16
EXCELENTE DEPTO 3 AMB. 2 BAÑOS ESTRENAR PATIO CON PARRILLA EXCELENTE,Avenida Francisco Beiró 4800,Villa Devoto,CABA,ARS,2600000,150000,,2,2,,A Estrenar,,16
MONOAMBIENTE CON PATIO,"Avenida Francisco Beiró 4200, Piso 1",Barrio San Pedro,Villa Devoto,Consultar,200000,,30.0,,1,,12 años,,16
"Muy buena ubicación, expensas accesibles","Virrey Loreto 3700, Piso 1",Colegiales,CABA,ARS,900000,157750,56.0,2,,,39 años,,16
Monoambiente con división en alquiler Microcentro,Esmeralda 700,Microcentro,Centro,ARS,600000,96000,28.0,1,1,,,,16
Para exigentes!  2 ambientes super luminosos con cochera cub,Avenida Ingeniero Huergo 500,Puerto Madero,CABA,USD,1250,,52.0,1,,,A Estrenar,,16
5 AMBIENTES/DEP. SERV. + 5 COCHERAS + PISCINA + BAULERA,Mariscal Francisco Solano López 3800,Villa Devoto,CABA,USD,4000,,,4,4,5,,,16
"Rivadavia al 10400 - Apto Profesional, Alquiler","Avenida Rivadavia 10400, Piso 7",Villa Luro,CABA,ARS,650000,132000,35.0,1,,,22 años,,16
Alquilo departamento de 3 ambientes al frente con balcón corrido en excelente estado,"J Rondeau 2600, Piso 2",Parque Patricios,CABA,ARS,850000,200000,50.0,2,,,50 años,,16
Dpto 2 amplios ambientes de 55m Congreso.,Adolfo Alsina 1500,Congreso,CABA,ARS,650000,100000,55.0,1,1,,,,16
Alquiler Monoambiente Nuñez,Amenábar 3300,Núñez,CABA,ARS,700000,225000,31.0,,1,,20 años,,16
Departamento en alquiler en Belgrano,Avenida Cabildo 100,Belgrano,CABA,ARS,1550000,400000,78.0,3,,,,,16
Monoambiente Bario norte Amoblado y equipado,Uruguay 800,Barrio Norte,CABA,ARS,585000,160000,22.0,,1,1,,,16
DUEÑO DIRECTO ¡ESPECTACULAR Y AMPLIO MONOAMBIENTE!,"Avenida Álvarez Jonte 3500, Piso 7",Villa del Parque,CABA,ARS,650000,150000,36.0,,1,1,,,16
DUEÑO ALQUILA  ZONA  TRIBUNALES,"VIAMONTE 1300, Piso 8",Tribunales,Centro,ARS,500000,193000,36.0,,1,,40 años,,16
DUEÑO ALQUILA 2 AMBIENTES en Villa Luro,Yerbal 5100,Villa Luro,CABA,ARS,750000,150000,,1,,,,,16
DEPTO 3 AMB. C/BALCON - MUY BUEN ESTADO Y EXCELENTE ZONA,Avenida Caseros 700,San Telmo,CABA,ARS,810000,200000,,2,1,3,,,16
"Frente, todo luz y sol , 51m2 2 baños","Sarandí 400, Piso 3",Congreso,CABA,ARS,650000,195000,51.0,1,,,55 años,,16
"Frente, todo luz y sol , 51m2 2 baños","Sarandí 400, Piso 3",Congreso,CABA,ARS,650000,195000,51.0,1,,,55 años,,17
HERMOSO MONOAMBIENTE A ESTRENAR EN INMEJORABLE LUGAR. APTO PROFESIONAL.,"Avenida Doctor Ricardo Balbín 4000, Piso 6",Saavedra,CABA,ARS,800000,120000,38.0,,,,A Estrenar,,17
DOS AMBIENTES A ESTRENAR! - Edificio con Amenities!,"Pergamino 100, Piso 2",Flores,CABA,ARS,820000,200000,40.3,1,,,A Estrenar,,17
DEPARTAMENTO 3 AMB/BALCON AMPLIO,Avenida Juan De Garay 300,San Telmo,CABA,ARS,950000,200000,,2,1,,50 años,,17
Alquiler Departamento apto profesional al frente en Belgrano. Excelente ubicación.,Montañeses 2400,Belgrano,CABA,ARS,800000,100000,36.0,,1,,A Estrenar,,17
"Excelente  2AMB, al frente,Baño comp, cocina c/lav","Humberto 1 1300, Piso 2°",Congreso,CABA,ARS,580000,124000,34.0,1,,,52 años,,17
HERMOSO MONOAMBIENTE ALMAGRO,"Avenida Rivadavia 4000, Piso 3",Almagro,CABA,ARS,730000,150000,31.0,1,,,4 años,,17
"Palermo. Monoambiente impecable, en Cañitas. Al frente luminoso amoblado amenities","Dorrego 2600, Piso 1",Las Cañitas,Palermo,ARS,900000,180000,35.0,,1,,12 años,,17
2 amb. a la calle con balcón terraza.,Moldes 2100,Belgrano,CABA,ARS,850000,188500,37.0,1,,,35 años,,17
"Alquiler Mono amoblado Mil Aires, cochera opcional.",Avenida Lastra 4200,Villa Devoto,CABA,USD,600,248000,40.0,,1,,,,17
