id_aviso,titulo,direccion,barrio,ciudad,moneda,precio,m2_cubiertos,dormitorios,banos,ambientes,tipo_propiedad,link
MLA1935341709,Excelente Departamento De 2 Ambientes Al Frente Con Amplio Balcón Aterrazado Y Cochera Fija Cubierta,"Av. Directorio Al 1100, Caballito, Capital Federal",Caballito,Capital Federal,ARS,1100000,62.0,,1,2,departamento,https://departamento.mercadolibre.com.ar/MLA-1935341709-excelente-departamento-de-2-ambientes-al-frente-con-amplio-balcon-aterrazado-y-cochera-fija-cubierta-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=15&type=item&tracking_id=ea29b4db-b5d0-4ef1-bad8-a8affd55a3aa&sid=search
MLA3650576690,"2 Ambientes Al Frente Con Balcón ,  Unicamente Para Uso Profesional O Comercial  Muy Luminoso, Excelente Ubicación - Apto Profesional - Sum - Pileta - Parrilla","C. Dr. Juan Felipe Aranguren 66, Caballito, Capital Federal",Caballito,Capital Federal,ARS,800000,38.0,,1,2,departamento,https://departamento.mercadolibre.com.ar/MLA-3650576690-2-ambientes-al-frente-con-balcon-unicamente-para-uso-profesional-o-comercial-muy-luminoso-excelente-ubicacion-apto-profesional-sum-pileta-parrilla-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=16&type=item&tracking_id=ea29b4db-b5d0-4ef1-bad8-a8affd55a3aa&sid=search
MLA1877728229,Departamento En Excelente Torre De Lujo - Caballito - 45m2 - Entrega Inmediata,"Doblas Al 900, Caballito, Capital Federal",Caballito,Capital Federal,ARS,1200000,39.0,,1,2,departamento,https://departamento.mercadolibre.com.ar/MLA-1877728229-departamento-en-excelente-torre-de-lujo-caballito-45m2-entrega-inmediata-_JM#polycard_client=search-desktop&price_drop=true&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=17&type=item&tracking_id=ea29b4db-b5d0-4ef1-bad8-a8affd55a3aa&sid=search
MLA1947768867,Alquiler Departamento Tres Ambientes Caballito,"Hidalgo 56, Caballito, Capital Federal",Caballito,Capital Federal,ARS,1000000,65.0,,1,3,departamento,https://departamento.mercadolibre.com.ar/MLA-1947768867-alquiler-departamento-tres-ambientes-caballito-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=18&type=item&tracking_id=ea29b4db-b5d0-4ef1-bad8-a8affd55a3aa&sid=search
MLA3860108896,Yerbal 0  Departamento De 3 Ambientes Con Dependencia Y Balcón  Caballito,"Yerbal 0, Piso 7, Caballito, Capital Federal",Caballito,Capital Federal,ARS,1270000,66.0,,1,3,departamento,https://departamento.mercadolibre.com.ar/MLA-3860108896-yerbal-0-departamento-de-3-ambientes-con-dependencia-y-balcon-caballito-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=19&type=item&tracking_id=ea29b4db-b5d0-4ef1-bad8-a8affd55a3aa&sid=search
MLA2006329273,Alquiler Depto 2 Amb En Caballito Norte Muy Luminoso,"Avenida San Martín Al 1600. Entre Galicia Y Tres Arroyos, Caballito, Capital Federal",Caballito,Capital Federal,ARS,600000,30.0,,,2,departamento,https://departamento.mercadolibre.com.ar/MLA-2006329273-alquiler-depto-2-amb-en-caballito-norte-muy-luminoso-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=20&type=item&tracking_id=ea29b4db-b5d0-4ef1-bad8-a8affd55a3aa&sid=search
MLA2033368001,Av. La Plata Al 100 - Dos Ambientes En Piso 23 Con Vista Panorámica Y Mucha Luminosidad - Caballito,"Av. La Plata  Al 100, Caballito, Capital Federal",Caballito,Capital Federal,ARS,750000,45.0,,1,2,departamento,https://departamento.mercadolibre.com.ar/MLA-2033368001-av-la-plata-al-100-dos-ambientes-en-piso-23-con-vista-panoramica-y-mucha-luminosidad-caballito-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=21&type=item&tracking_id=ea29b4db-b5d0-4ef1-bad8-a8affd55a3aa&sid=search
MLA3860599954,Monoambiente Impecable Con Balcón Y Amenities En Caballito.,"Puan Al 200, Caballito, Capital Federal",Caballito,Capital Federal,ARS,650000,30.0,,1,1,departamento,https://departamento.mercadolibre.com.ar/MLA-3860599954-monoambiente-impecable-con-balcon-y-amenities-en-caballito-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=22&type=item&tracking_id=ea29b4db-b5d0-4ef1-bad8-a8affd55a3aa&sid=search
MLA3910622194,Hermoso Departamento De 2 Ambientes Con Balcón En Alquiler En Caballito Norte,"Nicolás Repetto Al 1300 - Hermoso Departamento De 2 Ambientes Con Balcón En Alquiler En Caballito Norte, Caballito, Capital Federal",Caballito,Capital Federal,ARS,750000,46.0,,1,2,departamento,https://departamento.mercadolibre.com.ar/MLA-3910622194-hermoso-departamento-de-2-ambientes-con-balcon-en-alquiler-en-caballito-norte-_JM#polycard_client=search-desktop&float_highlight=recent_publication&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=23&type=item&tracking_id=ea29b4db-b5d0-4ef1-bad8-a8affd55a3aa&sid=search
MLA3785133378,Alquiler- Semipiso  Monoambiente. Apto Profesional En Caballito,"Valle Al 1200, Caballito, Capital Federal",Caballito,Capital Federal,ARS,600000,34.0,,1,1,departamento,https://departamento.mercadolibre.com.ar/MLA-3785133378-alquiler-semipiso-monoambiente-apto-profesional-en-caballito-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=24&type=item&tracking_id=ea29b4db-b5d0-4ef1-bad8-a8affd55a3aa&sid=search
MLA3841922640,Departamento De 3 Ambientes Refaccionado En Primer Piso - Apto Profesional,"Directorio Al 900, Caballito, Capital Federal",Caballito,Capital Federal,ARS,900000,55.0,,1,3,departamento,https://departamento.mercadolibre.com.ar/MLA-3841922640-departamento-de-3-ambientes-refaccionado-en-primer-piso-apto-profesional-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=25&type=item&tracking_id=ea29b4db-b5d0-4ef1-bad8-a8affd55a3aa&sid=search
MLA3834075082,"Alquiler  3 Ambientes Con Dependencia, Caballito.","Avenida Acoyte 500, Caballito, Capital Federal",Caballito,Capital Federal,ARS,1500000,87.0,,2,3,departamento,https://departamento.mercadolibre.com.ar/MLA-3834075082-alquiler-3-ambientes-con-dependencia-caballito-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=26&type=item&tracking_id=ea29b4db-b5d0-4ef1-bad8-a8affd55a3aa&sid=search
MLA3822372906,Amplio Y Luminoso Departamento 4 Ambientes C/ Balcón Al Frente. Apto Profesional.,"Avenida Rivadavia Al 5400, Caballito, Capital Federal",Caballito,Capital Federal,ARS,1300000,86.0,,1,4,departamento,https://departamento.mercadolibre.com.ar/MLA-3822372906-amplio-y-luminoso-departamento-4-ambientes-c-balcon-al-frente-apto-profesional-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=27&type=item&tracking_id=ea29b4db-b5d0-4ef1-bad8-a8affd55a3aa&sid=search
MLA3860525306,Alquiler Departamento - Cid Campeador,"Galicia Al 500, Caballito, Capital Federal",Caballito,Capital Federal,ARS,500000,20.0,,1,1,departamento,https://departamento.mercadolibre.com.ar/MLA-3860525306-alquiler-departamento-cid-campeador-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=28&type=item&tracking_id=ea29b4db-b5d0-4ef1-bad8-a8affd55a3aa&sid=search
MLA2058052413,Alquiler - Departamento - 3 Ambientes - Caballito - Cochera,"Senillosa  Al 400, Caballito, Capital Federal",Caballito,Capital Federal,USD,1400,67.0,,2,3,departamento,https://departamento.mercadolibre.com.ar/MLA-2058052413-alquiler-departamento-3-ambientes-caballito-cochera-_JM#polycard_client=search-desktop&float_highlight=recent_publication&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=29&type=item&tracking_id=ea29b4db-b5d0-4ef1-bad8-a8affd55a3aa&sid=search
MLA1847243961,Alquiler 3 Ambientes Caballito,"Eduardo Acevedo 33, Caballito, Capital Federal",Caballito,Capital Federal,ARS,1650000,124.0,,2,3,departamento,https://departamento.mercadolibre.com.ar/MLA-1847243961-alquiler-3-ambientes-caballito-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=30&type=item&tracking_id=ea29b4db-b5d0-4ef1-bad8-a8affd55a3aa&sid=search
MLA3810072186,Alquiler. 4 Ambientes Con Cochera En Caballito,"Honorio Pueyrredon 500, Caballito, Capital Federal",Caballito,Capital Federal,ARS,1500000,90.0,,1,4,departamento,https://departamento.mercadolibre.com.ar/MLA-3810072186-alquiler-4-ambientes-con-cochera-en-caballito-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=31&type=item&tracking_id=ea29b4db-b5d0-4ef1-bad8-a8affd55a3aa&sid=search
MLA3821066408,Espectacular 2 Ambientes A Contrafrente Amplio,"Honorio Pueyrredon 550, Caballito, Capital Federal",Caballito,Capital Federal,ARS,1130000,58.0,,1,2,departamento,https://departamento.mercadolibre.com.ar/MLA-3821066408-espectacular-2-ambientes-a-contrafrente-amplio-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=32&type=item&tracking_id=ea29b4db-b5d0-4ef1-bad8-a8affd55a3aa&sid=search
MLA3727533138,Alquiler Departamento 3 Ambientes - Aranguren 800 - Caballito - Ciudad Autónoma De Buenos Aires,"Dr. Juan F. Aranguren 800, Caballito, Capital Federal",Caballito,Capital Federal,ARS,950000,50.0,,1,3,departamento,https://departamento.mercadolibre.com.ar/MLA-3727533138-alquiler-departamento-3-ambientes-aranguren-800-caballito-ciudad-autonoma-de-buenos-aires-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=33&type=item&tracking_id=ea29b4db-b5d0-4ef1-bad8-a8affd55a3aa&sid=search
MLA2032722963,4 Amb C/dep Y Cochera - 101m2 Totales - Caballito - Parque Rivadavia,"Senillosa 59 - Piso 2 - Frente, Caballito, Capital Federal",Caballito,Capital Federal,ARS,1900000,92.0,,2,4,departamento,https://departamento.mercadolibre.com.ar/MLA-2032722963-4-amb-cdep-y-cochera-101m2-totales-caballito-parque-rivadavia-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=34&type=item&tracking_id=ea29b4db-b5d0-4ef1-bad8-a8affd55a3aa&sid=search
MLA3875793608,Departamento En Caballito Sur,"Valle Al 500, Caballito, Capital Federal",Caballito,Capital Federal,USD,1600,86.0,,2,3,departamento,https://departamento.mercadolibre.com.ar/MLA-3875793608-departamento-en-caballito-sur-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=35&type=item&tracking_id=ea29b4db-b5d0-4ef1-bad8-a8affd55a3aa&sid=search
MLA3763242980,"Alquiler A Estrenar- Depto 2 Amb. Con Balcon, Caballito, Luminoso.   Full Amenities.","Acoyte Al 500, Caballito, Capital Federal",Caballito,Capital Federal,ARS,1240000,50.0,,1,2,departamento,https://departamento.mercadolibre.com.ar/MLA-3763242980-alquiler-a-estrenar-depto-2-amb-con-balcon-caballito-luminoso-full-amenities-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=36&type=item&tracking_id=ea29b4db-b5d0-4ef1-bad8-a8affd55a3aa&sid=search
MLA2057761931,"Monoambiente En Alquiler Con Patio, Apto Profesional.","Hidalgo Al 500, Caballito, Capital Federal",Caballito,Capital Federal,ARS,500000,30.0,,1,1,departamento,https://departamento.mercadolibre.com.ar/MLA-2057761931-monoambiente-en-alquiler-con-patio-apto-profesional-_JM#polycard_client=search-desktop&float_highlight=recent_publication&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=37&type=item&tracking_id=ea29b4db-b5d0-4ef1-bad8-a8affd55a3aa&sid=search
MLA3438291898,Departamento En Caballito,"Cachimayo 85, Caballito, Capital Federal",Caballito,Capital Federal,USD,600,46.0,,1,2,departamento,https://departamento.mercadolibre.com.ar/MLA-3438291898-departamento-en-caballito-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=38&type=item&tracking_id=ea29b4db-b5d0-4ef1-bad8-a8affd55a3aa&sid=search
MLA3786046410,Muy Lindo 2 Amb. Recien Reciclado - Cocina Independiente - Myu Luminoso - Excelente Ubicación,"Pje. Centenario 120, Caballito, Capital Federal",Caballito,Capital Federal,ARS,750000,36.0,,1,2,departamento,https://departamento.mercadolibre.com.ar/MLA-3786046410-muy-lindo-2-amb-recien-reciclado-cocina-independiente-myu-luminoso-excelente-ubicacion-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=39&type=item&tracking_id=ea29b4db-b5d0-4ef1-bad8-a8affd55a3aa&sid=search
MLA3763263088,"Alquiler A Estrenar- Depto 2 Amb. Con Balcon, Caballito, Luminoso.   Full Amenities.","Acoyte Al 500, Caballito, Capital Federal",Caballito,Capital Federal,USD,800,50.0,,1,2,departamento,https://departamento.mercadolibre.com.ar/MLA-3763263088-alquiler-a-estrenar-depto-2-amb-con-balcon-caballito-luminoso-full-amenities-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=40&type=item&tracking_id=ea29b4db-b5d0-4ef1-bad8-a8affd55a3aa&sid=search
MLA2052030485,Alquiler Monoambiente 39m² Nuevo Con Balcón Al Contrafrente Con Aa Muy Luminoso En Flores Norte,"Gavilán Al 700, Caballito, Capital Federal",Caballito,Capital Federal,ARS,500000,39.0,,1,1,departamento,https://departamento.mercadolibre.com.ar/MLA-2052030485-alquiler-monoambiente-39m-nuevo-con-balcon-al-contrafrente-con-aa-muy-luminoso-en-flores-norte-_JM#polycard_client=search-desktop&float_highlight=recent_publication&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=41&type=item&tracking_id=ea29b4db-b5d0-4ef1-bad8-a8affd55a3aa&sid=search
MLA3489624244,Federico García Lorca Departamento 2 Ambientes En Alquiler En Caballito,"Federico García Lorca 100, Caballito, Capital Federal",Caballito,Capital Federal,ARS,700000,51.0,,1,2,departamento,https://departamento.mercadolibre.com.ar/MLA-3489624244-federico-garcia-lorca-departamento-2-ambientes-en-alquiler-en-caballito-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=42&type=item&tracking_id=ea29b4db-b5d0-4ef1-bad8-a8affd55a3aa&sid=search
MLA2001439243,2 Ambientes Con Balcón Aterrazado - Excelente Ubicacion,"Av. Curapaligüe 326, Caballito, Capital Federal",Caballito,Capital Federal,ARS,900000,42.0,,1,2,departamento,https://departamento.mercadolibre.com.ar/MLA-2001439243-2-ambientes-con-balcon-aterrazado-excelente-ubicacion-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=43&type=item&tracking_id=ea29b4db-b5d0-4ef1-bad8-a8affd55a3aa&sid=search
MLA1982321277,"2 Ambientes Con Cochera, Balcón Terraza, Patio Privado Y Amenities En Caballito","Hidalgo 325, Caballito, Capital Federal",Caballito,Capital Federal,ARS,1000000,40.0,,1,2,departamento,https://departamento.mercadolibre.com.ar/MLA-1982321277-2-ambientes-con-cochera-balcon-terraza-patio-privado-y-amenities-en-caballito-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=44&type=item&tracking_id=ea29b4db-b5d0-4ef1-bad8-a8affd55a3aa&sid=search
MLA1961468905,Alquiler Departamento 2 Ambientes Caballito Balcon,"Avellaneda 0, Caballito, Capital Federal",Caballito,Capital Federal,ARS,890000,38.0,,1,2,departamento,https://departamento.mercadolibre.com.ar/MLA-1961468905-alquiler-departamento-2-ambientes-caballito-balcon-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=45&type=item&tracking_id=ea29b4db-b5d0-4ef1-bad8-a8affd55a3aa&sid=search
MLA1935511865,Monambiente Divisible  En Ele  De 47 M2 Al Contrafrente Con Balcon,"Lezica Al 4400, Caballito, Capital Federal",Caballito,Capital Federal,ARS,900000,44.0,,1,1,departamento,https://departamento.mercadolibre.com.ar/MLA-1935511865-monambiente-divisible-en-ele-de-47-m2-al-contrafrente-con-balcon-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=46&type=item&tracking_id=ea29b4db-b5d0-4ef1-bad8-a8affd55a3aa&sid=search
MLA3810066292,Alquiler Departamento 3 Ambientes Caballito,"Avenida La Plata 100, Caballito, Capital Federal",Caballito,Capital Federal,ARS,1400000,76.0,,1,3,departamento,https://departamento.mercadolibre.com.ar/MLA-3810066292-alquiler-departamento-3-ambientes-caballito-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=47&type=item&tracking_id=ea29b4db-b5d0-4ef1-bad8-a8affd55a3aa&sid=search
MLA2051365673,Monoambiente Con Cocina Independiente | Excelente Ubicación,"José Bonifacio 1706, Caballito, Capital Federal",Caballito,Capital Federal,ARS,450000,24.0,,1,1,departamento,https://departamento.mercadolibre.com.ar/MLA-2051365673-monoambiente-con-cocina-independiente-excelente-ubicacion-_JM#polycard_client=search-desktop&float_highlight=recent_publication&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=48&type=item&tracking_id=ea29b4db-b5d0-4ef1-bad8-a8affd55a3aa&sid=search
MLA1972876069,Alquiler Departamento Semipiso 60 M² Muy Luminoso En Boedo Con Balcón Frente Cocina Comedor Lavadero,"Virrey Liniers Al 1200, Caballito, Capital Federal",Caballito,Capital Federal,ARS,1050000,60.0,,1,3,departamento,https://departamento.mercadolibre.com.ar/MLA-1972876069-alquiler-departamento-semipiso-60-m-muy-luminoso-en-boedo-con-balcon-frente-cocina-comedor-lavadero-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=1&type=item&tracking_id=da4dd663-75f6-45aa-b963-a5bb44866185&sid=search
MLA3790570634,Departamento En Alquiler - 2 Ambientes - Balcón - Caballito - Caballito Sur,"Jose A. Terry Al 300, Caballito, Capital Federal",Caballito,Capital Federal,ARS,700000,31.0,,1,2,departamento,https://departamento.mercadolibre.com.ar/MLA-3790570634-departamento-en-alquiler-2-ambientes-balcon-caballito-caballito-sur-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=2&type=item&tracking_id=da4dd663-75f6-45aa-b963-a5bb44866185&sid=search
MLA1945485133,Alquiler Depto 2 Amb -caballito-luminoso-balcon,"Almirante Francisco Juan Seguí 1100, Caballito, Capital Federal",Caballito,Capital Federal,ARS,750000,37.0,,1,2,departamento,https://departamento.mercadolibre.com.ar/MLA-1945485133-alquiler-depto-2-amb-caballito-luminoso-balcon-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=3&type=item&tracking_id=da4dd663-75f6-45aa-b963-a5bb44866185&sid=search
